𐂀 Linear B Ideogram B100 Man
𐂁 Linear B Ideogram B102 Woman
𐂂 Linear B Ideogram B104 Deer
𐂃 Linear B Ideogram B105 Equid
𐂄 Linear B Ideogram B105F Mare
𐂅 Linear B Ideogram B105M Stallion
𐂆 Linear B Ideogram B106F Ewe
𐂇 Linear B Ideogram B106M Ram
𐂈 Linear B Ideogram B107F She-Goat
𐂉 Linear B Ideogram B107M He-Goat
𐂊 Linear B Ideogram B108F Sow
𐂋 Linear B Ideogram B108M Boar
𐂌 Linear B Ideogram B109F Cow
𐂍 Linear B Ideogram B109M Bull
𐂎 Linear B Ideogram B120 Wheat
𐂏 Linear B Ideogram B121 Barley
𐂐 Linear B Ideogram B122 Olive
𐂑 Linear B Ideogram B123 Spice
𐂒 Linear B Ideogram B125 Cyperus
𐂓 Linear B Monogram B127 Kapo
𐂔 Linear B Monogram B128 Kanako
𐂕 Linear B Ideogram B130 Oil
𐂖 Linear B Ideogram B131 Wine
𐂗 Linear B Ideogram B132
𐂘 Linear B Monogram B133 Arepa
𐂙 Linear B Monogram B135 Meri
𐂚 Linear B Ideogram B140 Bronze
𐂛 Linear B Ideogram B141 Gold
𐂜 Linear B Ideogram B142
𐂝 Linear B Ideogram B145 Wool
𐂞 Linear B Ideogram B146
𐂟 Linear B Ideogram B150
𐂠 Linear B Ideogram B151 Horn
𐂡 Linear B Ideogram B152
𐂢 Linear B Ideogram B153
𐂣 Linear B Ideogram B154
𐂤 Linear B Monogram B156 Turo2
𐂥 Linear B Ideogram B157
𐂦 Linear B Ideogram B158
𐂧 Linear B Ideogram B159 Cloth
𐂨 Linear B Ideogram B160
𐂩 Linear B Ideogram B161
𐂪 Linear B Ideogram B162 Garment
𐂫 Linear B Ideogram B163 Armour
𐂬 Linear B Ideogram B164
𐂭 Linear B Ideogram B165
𐂮 Linear B Ideogram B166
𐂯 Linear B Ideogram B167
𐂰 Linear B Ideogram B168
𐂱 Linear B Ideogram B169
𐂲 Linear B Ideogram B170
𐂳 Linear B Ideogram B171
𐂴 Linear B Ideogram B172
𐂵 Linear B Ideogram B173 Month
𐂶 Linear B Ideogram B174
𐂷 Linear B Ideogram B176 Tree
𐂸 Linear B Ideogram B177
𐂹 Linear B Ideogram B178
𐂺 Linear B Ideogram B179
𐂻 Linear B Ideogram B180
𐂼 Linear B Ideogram B181
𐂽 Linear B Ideogram B182
𐂾 Linear B Ideogram B183
𐂿 Linear B Ideogram B184
𐃀 Linear B Ideogram B185
𐃁 Linear B Ideogram B189
𐃂 Linear B Ideogram B190
𐃃 Linear B Ideogram B191 Helmet
𐃄 Linear B Ideogram B220 Footstool
𐃅 Linear B Ideogram B225 Bathtub
𐃆 Linear B Ideogram B230 Spear
𐃇 Linear B Ideogram B231 Arrow
𐃈 Linear B Ideogram B232
𐃉 Linear B Ideogram B233 Sword
𐃊 Linear B Ideogram B234
𐃋 Linear B Ideogram B236
𐃌 Linear B Ideogram B240 Wheeled Chariot
𐃍 Linear B Ideogram B241 Chariot
𐃎 Linear B Ideogram B242 Chariot Frame
𐃏 Linear B Ideogram B243 Wheel
𐃐 Linear B Ideogram B245
𐃑 Linear B Ideogram B246
𐃒 Linear B Monogram B247 Dipte
𐃓 Linear B Ideogram B248
𐃔 Linear B Ideogram B249
𐃕 Linear B Ideogram B251
𐃖 Linear B Ideogram B252
𐃗 Linear B Ideogram B253
𐃘 Linear B Ideogram B254 Dart
𐃙 Linear B Ideogram B255
𐃚 Linear B Ideogram B256
𐃛 Linear B Ideogram B257
𐃜 Linear B Ideogram B258
𐃝 Linear B Ideogram B259
𐃞 Linear B Ideogram Vessel B155
𐃟 Linear B Ideogram Vessel B200
𐃠 Linear B Ideogram Vessel B201
𐃡 Linear B Ideogram Vessel B202
𐃢 Linear B Ideogram Vessel B203
𐃣 Linear B Ideogram Vessel B204
𐃤 Linear B Ideogram Vessel B205
𐃥 Linear B Ideogram Vessel B206
𐃦 Linear B Ideogram Vessel B207
𐃧 Linear B Ideogram Vessel B208
𐃨 Linear B Ideogram Vessel B209
𐃩 Linear B Ideogram Vessel B210
𐃪 Linear B Ideogram Vessel B211
𐃫 Linear B Ideogram Vessel B212
𐃬 Linear B Ideogram Vessel B213
𐃭 Linear B Ideogram Vessel B214
𐃮 Linear B Ideogram Vessel B215
𐃯 Linear B Ideogram Vessel B216
𐃰 Linear B Ideogram Vessel B217
𐃱 Linear B Ideogram Vessel B218
𐃲 Linear B Ideogram Vessel B219
𐃳 Linear B Ideogram Vessel B221
𐃴 Linear B Ideogram Vessel B222
𐃵 Linear B Ideogram Vessel B226
𐃶 Linear B Ideogram Vessel B227
𐃷 Linear B Ideogram Vessel B228
𐃸 Linear B Ideogram Vessel B229
𐃹 Linear B Ideogram Vessel B250
𐃺 Linear B Ideogram Vessel B305
